course_name,overview,requirements
Master of Data Science,"The sheer volume and complexity of data already at the fingertips of businesses and research organisations gives rise to challenges that must be solved by tomorrow’s graduates. With modern organisations placing increasing emphasis on the use of data to inform day-to-day operations and long-term strategic decisions, Deakin’s Master of Data Science equips you for a career in this fast-growing sector. Throughout your studies you will gain the technical skills to harness the power of data through artificial intelligence and machine learning. Use your insights to develop innovative solutions to the important challenges being faced by industry and governments. With a growing demand for data specialists in every sector, you’ll be able to help organisations manage risk, optimise performance and add a competitive advantage through the increasing volumes of data collection. Want to become a data science specialist capable of using data to learn insights and support decision making? The Master of Data Science prepares you to understand the various origins of data to be used for analysis, combined with methods to manage, organise and manipulate data within regulatory, ethical and security constraints. You will develop specialised skills in categorising and transferring raw data into meaningful information for the benefit of prediction and robust decision-making. As a graduate, your knowledge, skills and competencies in modern data science and statistical analysis will be highly valued by employers seeking greater efficiencies and competitive advantage through data insights. Through the Master of Data Science you can choose to undertake an industry placement or internship as part of your degree. Industry placements provide you with an opportunity to develop the practical and job-ready skills employers are looking for and enable you to build professional networks before graduating.","Entry requirements Entry information 1 year full time (2 years part time) – 8 credit pointsAdmission is based on: Bachelor’s degree in a related discipline and two years relevant work experience OR Bachelor's degree in a related discipline and Graduate Certificate of Data Analytics or equivalent OR Bachelor Honours Degree in a related discipline OR Graduate Certificate of Information Technology and Graduate Certificate of Data Analytics OR Evidence of academic capability judged to be equivalent 1.5 years full time (3 years part time) – 12 credit pointsAdmissions is based on: Bachelor’s degree in a related discipline OR Bachelor’s degree in any discipline and two years relevant work experience OR Graduate Certificate of Information Technology OR Evidence of academic capability judged to be equivalent 2 years full time (4 years part time) – 16 credit pointsAdmissions is based on: Bachelor’s degree in any discipline OR Evidence of academic capability judged to be equivalent Deakin University offers admission to postgraduate courses through a number of Admission categories. To be eligible for admission to this program, applicants must meet the course requirements. All applicants must meet the minimum English language requirements. Please note that meeting the minimum admission requirements does not guarantee selection, which is based on merit, likelihood of success and availability of places in the course. For more information on the Admission Criteria and Selection (Higher Education Courses) Policy visit the Deakin Policy Library"
Master of Information Technology Management (Professional),"Information technology is driving digital disruption, with new technology helping redefine many industries. To take advantage of the opportunities that information technology offers, businesses need skilled staff who can lead and manage IT projects, services, and departments.Deakin’s Master of Information Technology Management (Professional) equips you with the specialist knowledge and skills necessary to lead and manage information technology projects and people within enterprises.This course develops your understanding of the many aspects of IT, including networking, cyber security, operations and enterprise systems. As an enterprise manager you will work alongside, manage and lead artificial intelligence specialists, software engineers, data scientists, application developers and business analysts. This course is ideal for those with a computing background and provides the opportunity to undertake a period of industry-based learning or a research project.","Entry requirements Entry information Bachelor Degree in a related discipline, OR Bachelor Degree in any discipline AND two years relevant work experience, OR Graduate Certificate of Information Technology or equivalent, OR evidence of academic capability judged to be equivalent. Deakin University offers admission to postgraduate courses through a number of Admission categories. All applicants must meet the minimum English language requirements.Please note that meeting the minimum admission requirements does not guarantee selection, which is based on merit, likelihood of success and availability of places in the course.For more information on the Admission Criteria and Selection (Higher Education Courses) Policy visit the Deakin Policy Library"
Graduate Certificate of Business Administration,"Improve your business skills, perform your current job more effectively and expand your career options. The Graduate Certificate of Business Administration covers topics relating to organisational management, teaches you how to be a more effective business leader and expands your career options. On successful completion of this course, students may enrol in the Graduate Diploma of Business Administration, Master of Business Administration (MBA), and combined MBA courses.","Entry requirements Entry information Minimum admission criteria: Bachelor degree in any discipline and a minimum of three years relevant work experience,* or Five years relevant work experience#. *Definition of minimum work experience: three years relevant work experience and must include at least two years (full-time equivalent) in a managerial or professional role with responsibilities for decision-making in a range of areas including budgetary oversight, staffing and management, involvement in strategy and planning development and operational implementation. # Definition of minimum work experience: must include at least three years (full-time equivalent) in a managerial or professional role with responsibilities for decision-making in a range of areas including budgetary oversight, staffing and management, involvement in strategy and planning development and operational implementation. All applicants must provide the following with their application: current CV that clearly demonstrates professional / managerial experience current contact details of two referees who can be contacted concerning your work experience, a one page brief outlining why you believe that your work experience would be valued by your MBA peers. Deakin University offers admission to postgraduate courses through a range of Admission categories. All applicants must meet the minimum English language requirements. Please note that meeting the minimum admission requirements does not guarantee selection, which is based on merit, likelihood of success and availability of places in the course. For more information on the Admission Criteria and Selection (Higher Education Courses) Policy visit the Deakin Policy Library"
Bachelor of Civil Engineering (Honours),"Graduate as an industry-ready civil engineer by studying Deakin’s Bachelor of Civil Engineering (Honours). You will combine contemporary theory with industry-led projects to develop the skills needed to confidently design, construct and maintain the built infrastructure systems that are vital in our day-to-day lives.You will learn how to apply scientific and engineering principles to address complex problems and develop innovative solutions that are beneficial to organisations and the community.In this Engineers Australia-accredited course, you will gain a deep understanding of the way infrastructure works, not just through textbooks, but by applying your skills in cutting edge engineering facilities. Work on industry-informed projects and undertake work placements to gain valuable real-world experience and build your professional networks. Want to turn your big ideas into the creative solutions that power our future cities? Deakin graduates are sought-after both in Australia and abroad. That’s because we train students in practical scenarios and look to develop skills beyond the technical. You will be highly valued for your skills in innovation, leadership, project management and communication, as well as your ability to anticipate and tackle the unknown challenges of tomorrow. Throughout the course you will explore a diverse range of civil engineering disciplines related to structural, water, geotechnical and transportation engineering and civil engineering materials. Then you will put the theory you learn into practice in Deakin’s world-class, multi-million-dollar engineering precinct. With hands-on experience, you will realise and validate your designs through combinations of computer simulation and testing. Key facilities available to civil engineering students include the geotechnical (soil and rock) testing lab, hydraulics and hydrology lab, two structural testing laboratories, and transportation simulation and data analytics software suites. You will also have access to a range of other facilities including 3D printers, a materials science corrosion and polymer lab, concrete and structural testing facilities and CNC machining centres. In addition to traditional theory-based classes, 50% of each trimester is dedicated to learning via team-based projects. You will tackle real-world industry problems and research, design, test and evaluate solutions, with the support of our expert teaching staff. Through project-oriented design-based learning (PODBL) in collaboration with industry, you will have the chance to apply scientific and engineering principles to solve situational challenges faced by businesses and communities. This real-world application gives you competitive insight into the social, cultural, global, ethical and environmental responsibilities of today’s engineer. Take these skills even further during your Professional Engineering Practice unit, where you will have the opportunity to work in a real engineering team. Build your industry experience, create a professional network and get an insight into your future career options.",Entry requirements
Bachelor of Design,"Harness your creativity to make an impact in an ever-changing world when you study a Bachelor of Design at Deakin. Design is a tangible way to influence people and solve complex problems. No two days will be the same, you’ll learn the tools, strategies and methodologies required to drive innovation in business, as well as how to utilise cutting-edge technology and the creative practices of design to create memorable work. Develop critical skills across a range of related disciplines – from communications design to interactive UX, to brand and design thinking – and work towards a sustained creative career doing what you love.Want to build a sustained design career doing what you love? Design has the power to drive change and enhance the way we function in society. If you’re a creative person who wants to use your flair for design to deliver impactful solutions, then studying a Bachelor of Design is a great first step towards a dynamic and creative future career. Studying the challenging and rewarding field of design allows your creativity to run free, preparing you to work across all industry sectors, including digital and publishing, packaging, game engines, software and mobile apps, the web, immersive and interactive virtual experiences, and more. Explore core themes and methods across design thinking and design collaboration labs and discover how to develop positive design solutions for social and cultural change. Be empowered to become an adaptive and agile designer of the future by exploring new mediums and ideas when you combine studies from related disciplines – including photography, animation, Indigenous studies and more. You’ll learn in a supportive environment from our leading academics and passionate practitioners, who’ll challenge you to take your love for creativity to new levels. Enhance your skills every day by using the same tools and technologies professionals use in our world-class design facilities. Throughout your degree, you’ll work on real-world projects and learn how to interpret client briefs. You’ll have opportunities to network with industry and share your designs with the public, ensuring you graduate with the entrepreneurial mindset and leadership skills required to thrive in the rapidly changing field of design. Build towards a future career in design where you’ll be surrounded by a like-minded community of innovators and creative thinkers, where the possibilities are limitless.",Entry requirements
Bachelor of Environmental Science (Environmental Management and Sustainability),"Throughout the Bachelor of Environmental Science (Environmental Management and Sustainability) you will explore ways to manage the interaction between people and the environment. Combining the latest research with extensive application of skills in professional, community, lab and field settings, you will devise and implement innovative solutions to protect natural resources in local and global contexts.Develop the confidence to address some of the biggest environmental issues we face on a global scale by exploring the role science and society play in achieving global sustainability. Fieldwork is a rewarding part of this course and you will get plenty of opportunities to apply your skills in beautiful outdoor and community settings. Industry placements of 60 to 80 hours provide even more practical experience and the opportunity to work alongside experienced environmental scientists. Want to play a key role in tackling the world’s most pressing environmental problems? Throughout this degree, you will learn about environmental processes within a range of environments, how societies use and value these environments, and the tools available to prevent and manage environmental impacts. You will consider sustainability from all angles – from environmental processes to environmental policy – and workshop innovative ways to satisfy society’s needs for clean water, fresh air and healthy soil through sustainable use of natural resources. With an emphasis on fieldwork and work-integrated learning, everything you learn in the classroom will be tried, tested and challenged in real life. Our passionate, industry-connected teachers break down leading-edge research into easy-to-understand concepts, so you can carry the theory you learn in the class into the field and into professional settings. Fieldwork opportunities take you to a diverse range of sites and environments, from coastal and national parks, to sustainability centres, business and industry. During these trips you will get the chance to practise advanced field skills such as: animal and plant identification water quality analysis use of global positioning systems (GPS), geographic information systems (GIS) and remote sensing environmental impact assessment. You will have the opportunity to steer your studies towards your interests and career aspirations by choosing elective units in areas such as coastal and marine management, pollution, waste, climate change, wildlife conservation, sustainable city planning, ecotourism and environmental health. Through the professional practice unit, you will undertake 60 to 80 hours of professional work experience at a relevant host organisation. You will be able to apply your technical expertise to real-world problems, develop valuable professional networks and skills in leadership, critical thinking and communication – ensuring you graduate job ready. This unique experience and skill set prepares you for careers in a variety of areas, including: environmental management and protection pollution control land rehabilitation water resources management nature conservation ecotourism environmental education environmental and sustainability science.",Entry requirements
Bachelor of Exercise and Sport Science/Bachelor of Business (Sport Management),"Join the #1 sport science school in the world* and learn from expert teachers in world-class facilities with Deakin's Bachelor of Exercise and Sport Science/Bachelor of Business (Sport Management). Offering an accredited pathway for you to be eligible to register and practise as an Accredited Exercise Scientist with Exercise and Sports Science Australia; you will become a professional leader in exercise and sport science, with business knowledge to manage sporting organisations and events. Exercise and sport science study enables you to develop the skills to apply exercise and sport science principles to improve the performance, health and participation of individuals, athletes and teams. Sport management study teaches you about the business of sport, including sport systems, finance, marketing, management and law. Plus, complete a minimum of 320 hours of practical experience. Be ready to broaden your career options and your understanding of wider sport contexts. Want to learn the science behind elite performance and influence the business of sport? With this combined course, you will gain unique knowledge and skills in managing organisations that support sports and events within disciplines such as: athlete management equipment/merchandising finance marketing promotion sponsorship At the same time, you will focus your expertise on sport science and peak performance. The nationally recognised Bachelor of Exercise and Sport Science is the field leader in Victoria and focuses on areas like: behavioural aspects of sport and exercise exercise physiology human growth and ageing improved performance motor learning and development. Learning from teachers who are active in the industry means your classroom becomes a hub of the latest ideas, approaches and techniques. As well as classroom-based learning, you will undertake at least 220 hours of fieldwork experience in real-world settings through the Exercise Programming and Exercise and Sports Practicum units, plus 100 or more hours with a host sporting organisation in the Sport Management Practicum unit. This extensive practical experience gives you the expertise to pursue opportunities varying from sport, exercise and coaching occupations, to sports administration, management, governance and development roles. *ShanghaiRanking's Global Ranking of Sport Science Schools and Departments 2021",Entry requirements
Graduate Diploma of Creative Writing,"Discover how to connect with audiences of all ages in Deakin’s Graduate Diploma of Creative Writing. In this one-year specialist course, you’ll be mentored by published authors as you develop and refine a body of work for publication. Explore and master a range of key writing techniques, such as the ability to edit, analyse a range of genres, and blueprint a draft and take a concept through various stages of revision.Want the confidence, insight and creative control to bring your story idea to life?* In core units, you’ll get to grips with the basics of constructing a great story. Learn in workshop-style classes and receive feedback as you discover how to manipulate time and perspective in narratives, experiment with genre, form and style, and refine your ability to create compelling characters and voices. In addition, you’ll be challenged to develop and employ regular writing structures, practices and modes of thinking – necessary skills for any working writer. You’ll then tailor your studies to your preferred creative path by choosing from five writing specialisations: short stories creative nonfiction life writing writing for children editing. You’ll benefit from the chance to stretch your knowledge in electives from the Master of Arts (Writing and Literature), Master of Creative Arts and Master of Communication. Learn how to craft a compelling blurb, pitch a novel idea, or film a teaser trailer – skills that could apply to your novel or to a role in-industry. This course attracts a wide range of students from all walks of life and all levels of experience, with an interest in writing. We encourage you to share your work and seek feedback, and look for opportunities to collaborate on creative projects. We also encourage students to get involved with Verandah Journal, an annual student-run publication that showcases the best work of emerging writers and artists, and gives students the chance to develop expertise in selecting, editing and proofreading submissions for publication. You’ll also benefit from Deakin’s strong links with industry, with the opportunity to gain market knowledge and connections by securing an internship with one of our industry partners.","Entry requirements Entry information Entry will be based on performance in: a Bachelor Degree in any discipline OR a Graduate Certificate in any discipline OR at least two years of relevant work experience (or part-time equivalent) Deakin University offers admission to postgraduate courses through a number of Admission categories. All applicants must meet the minimum English language requirements.Please note that meeting the minimum admission requirements does not guarantee selection, which is based on merit, likelihood of success and availability of places in the course.For more information on the Admission Criteria and Selection (Higher Education Courses) Policy visit the Deakin Policy Library"
Master of Health Promotion,"The Master of Health Promotion gives you the skills and platform to create healthy social and ecological environments for whole populations. You will develop skills and knowledge in health program planning, evidence-based strategies, policy, advocacy and research to prevent, minimise and respond early to health issues and their underlying causes. Want an internationally recognised qualification that opens the door to a career that builds strong and just communities? Health promotion contributes to social change for improved health outcomes, especially for marginalised and disadvantaged communities. Preventative action saves health dollars as well as promoting wellbeing. With a Master of Health Promotion, you can be a key player in creating social and environmentally just and equitable communities. You’ll graduate with a valuable set of analytical, creative, advocacy, planning and communication skills that prepare you to lead the way in health promotion, locally and globally. Plus, the course’s practical learning opportunities ensure you’re ready for both the current and emerging health challenges of the 21st century. The course explores evidence-based health promotion strategies that improve the health of individuals, families, communities and countries. These are strategies that empower people to take control of their own health and advocate for just and equitable policies, strengthen community action and create environments that are more supportive of good health. Get hands-on practice developing these initiatives from start to finish, while gaining a deep understanding of the social, environmental, political and economic conditions that impact health. Whether you see yourself working on the prevention of violence against women, mitigation and adaptation to climate change, or promotion of positive mental health and wellbeing for youth, you’ll have the skills and experience to not only manage, but thrive. Some of the course’s core study areas include: health communication evidence-based health program planning health program evaluation health equity and human rights contemporary health issues and policies health research. You can customise your degree to your interests by choosing from a broad range of elective units. Choose from topics such as, nutrition, global health policy, environmental protection and obesity prevention to create a unique degree that takes your career further. The course also gives you the option of undertaking a major or minor project. These projects allow you to apply the knowledge and skills developed in the course to a contemporary health issue through either a critical a literature review, industry-linked project, policy proposal/review or an applied research project. A strong focus of the course is professional development through practical experience. In particular, the course’s new work-integrated learning elective allows you to undertake 150 hours of valuable industry experience. This can be an agency-based work placement with one of our many industry partners, or agency-sponsored work based at the Deakin Freelancing Hub. These projects give you the chance to develop and apply your new skills in real-world contexts. They also allow you to work alongside leading health promotion practitioners and build professional networks that unlock new career pathways. Our academics are renowned for their contributions to social and environmental justice, equity and the promotion of community wellbeing. Their project work and research feed into the course, ensuring content is authentic, relevant and responsive to the needs of an evolving sector. There are also opportunities for students to join academics and their colleagues on projects that address current health issues of global importance. We have academics embedded in many renowned healthcare organisations, institutes and health and environmental settings across many different roles, so you’ll have access to the perfect mentor no matter your interests and career aspirations.","Entry requirements Entry information It will take you 2 years, 1.5 years or 1 year to complete your 2-year masters degree, depending on your previous qualifications and professional experience. 2 year full time (4 years part time) – 16 credit pointsAdmission is based on: Bachelor degree or higher in any discipline, or Evidence of academic capability judged to be equivalent 1.5 years full time (3 years part time) – 12 credit pointsAdmission is based on: Bachelor degree or higher in a related discipline, or Bachelor degree or higher in any discipline, plus two years relevant work experience, or Evidence of academic capability judged to be equivalent Deakin University offers admission to postgraduate courses through a number of Admission categories. All applicants must meet the minimum English language requirements. Please note that meeting the minimum admission requirements does not guarantee selection, which is based on merit, likelihood of success and availability of places in the course. For more information on the Admission Criteria and Selection (Higher Education Courses) Policy visit the Deakin Policy Library. The University aims to provide students with as much credit as possible for approved prior study or informal learning which exceeds the normal entrance requirements for the course and is within the constraints of the course regulations. Students are required to complete a minimum of one-third of the course at Deakin University, or four credit points, whichever is the greater. In the case of certificates, including graduate certificates, a minimum of two credit points within the course must be completed at Deakin."
Bachelor of Construction Management (Honours),"Develop an in-depth understanding of the business of construction, from economics and law to technology. Deakin’s Bachelor of Construction Management (Honours) equips you with market-ready skills for construction management, quantity surveying and property development. Work confidently across projects large and small, with a strong focus on practical learning, you will develop the initiative and ability to hit the ground running.Undertaking industry placements will help you kickstart your professional experience while building professional networks, technical knowledge and skills. Collaborate with Deakin’s architecture students to gain a sound understanding across both disciplines. This experience prepares you for the real world and ensures you graduate with the well-rounded and adaptable skillset employers are looking for. Dreaming of running diverse building projects with a professionally recognised qualification? This degree is professionally accredited by the Australian Institute of Building (AIB), Australian Institute of Quantity Surveyors (AIQS), Chartered Institute of Building (CIOB) and Royal Institution of Chartered Surveyors (RICS). That means your qualification is recognised for practice in over 50 countries, providing a global passport for work in this field in Australia and overseas. You will learn to apply construction management strategies and best practices to new and existing buildings. Your education covers areas including: building economics and law building practice building technology measurement and estimating project management quantity surveying. Learning from academic staff who understand the industry means your classroom is a hub of the latest ideas, techniques and approaches to construction management – which you can then test out in our purpose-built studio and workshop. You will also benefit from our teaching staff’s professional networks, which means you can start building your own connections long before graduation. We take graduate employability seriously, so you will be workplace-ready through opportunities for placements, site visits, international study tours, exchange and guidance from Deakin’s leading careers service, DeakinTALENT. There is also an accelerated learning option available for this course, so you can join the workforce in just three years of full-time study, if you undertake selected units in Trimester 3.",Entry requirements
Bachelor of Forensic Science,"Deakin’s Bachelor of Forensic Science exposes you to the full scope of modern forensic science, from simulated crime scenes to courtroom presentations. With a strong focus on practical training, you’ll graduate with the skills needed to confidently examine, interpret and present forensic evidence. You’ll enhance your courtroom skills by building knowledge of the science behind criminal investigations and gain practical experience in our unique crime scene training facility.Forensic science at Deakin is a comprehensive and flexible degree. You’ll cover a wide range of disciplines including illicit drugs analysis, DNA analysis and more. You can customise your degree to your interests by selecting to specialise in forensic biology or forensic chemistry. You’ll then learn how to apply modern forensic analysis in authentic environments like Deakin’s purpose-built training facilities.Want to study the only professionally accredited forensic science degree in Australia? Alongside extensive practical training, you’ll explore a range of disciplines throughout your course, including: toxicology analysis of illicit drugs DNA analysis bloodstain pattern analysis entomology decomposition Taking your technical skills into the field, you will experience crime scene examination and evidence collection to laboratory analysis, interpretation of results and communication of your findings to investigators, including presenting evidence in a moot court. Complement your technical knowledge and be better prepared to present in court by developing a strong understanding of the Australian legal system, including how law is developed, criminal and civil law, and the laws of evidence. This course has extensive industry links with local and Australian forensic organisations, and features guest speakers from leaders in the field. Industry connections are leveraged to put you right in the middle of real-world forensic science environments. The Bachelor of Forensic Science is professionally accredited by the Chartered Society of Forensic Sciences. Deakin is the first university in the Asia-Pacific region and the only university in Australia to offer professionally accredited forensic sciences courses, meaning, you can potentially work anywhere in the world. Enhance your networking opportunities further by applying for membership of the Australian and New Zealand Forensic Science Society (ANZFSS).",Entry requirements
"Bachelor of Politics, Philosophy and Economics","Are you interested in finding out how power and ethics influence real-world decisions? Study Deakin’s Bachelor of Politics, Philosophy and Economics and learn how power, ethics, sustainability and economics converge to shape our lives. Built by leading academics and researchers, this course is designed for deep and creative thinkers looking to make an impact on society.Enhance your career prospects via exciting real-world experiences, including internships, volunteer placements and study tours. Plus, there’s the opportunity to collaborate on team-based industry and community projects, and to take part in our global experiential learning programs.You’ll understand the nature of public decision-making, explore resource management issues, and get the skills to analyse business problems in line with social justice. This course balances the big picture view of public problems while developing your professional and work skills.Do you want to examine society as it is and question how it could be? As a student of politics, philosophy and economics, you’ll focus on three distinct yet complementary disciplines to understand how societies govern and determine values. Politics Develop written and online communication skills. Explore systems and different forms of government. Examine relationships between countries and cultures. Articulate solutions for real-world political problems. Philosophy Develop critical thinking and logical rigor skills. Learn how to question assumptions. Explore ethics, justice and moral challenges. Economics Learn how business, government and consumers shape society. and ask questions about issues from inequality to environmental sustainability. You’ll graduate job-ready with the knowledge, expertise and practical skills to succeed in a range of roles in government policy, strategy, consulting or business management. This course is offered both on campus and online in a fully supported and flexible study environment, so you can get ahead with your career journey while also maintaining work, study and personal commitments.",Entry requirements
Graduate Certificate of Agricultural Health and Medicine,"Improve the social, physical and mental health of agricultural communities across Australia with our Graduate Certificate of Agricultural Health and Medicine. This course aims to allow students an insight into the physical and mental health issues encountered by people within the agricultural industry. You will explore what influences higher rates of morbidity and mortality in rural and remote Australia, and what influences successful health policies and safety intervention programs. By understanding these issues, along with learning the impact of poor health on agribusiness, agricultural production and sustainability, you will be placed to make a significant difference in Australia’s agricultural communities.","Entry requirements Entry information Entry will be based on performance in: Bachelor Degree or higher OR two years relevant work experience or OR evidence of academic capability judged to be equivalent Deakin University offers admission to postgraduate courses through a number of Admission categories. All applicants must meet the minimum English language requirements. Please note that meeting the minimum admission requirements does not guarantee selection, which is based on merit, likelihood of success and availability of places in the course. For more information on the Admission Criteria and Selection (Higher Education Courses) Policy visit the Deakin Policy Library"
Graduate Certificate of Property,"Get the qualifications you need to start a new career in the property industry with Deakin’s Graduate Certificate of Property. Gain a broad understanding of property and property valuation, valuing income producing properties, managing real estate and property development. As a graduate you’ll be well-prepared for a range of roles in this dynamic and fast-paced industry, including property development and property management. The course has been specifically developed for professionals, such as architects, surveyors and construction managers, looking to broaden their careers. It’s also ideal for graduates with degrees in commerce, management or law disciplines wanting to move into the property industry. Develop and refine your core professional skills, particularly related to the fields of property development and property management. You’ll establish an understanding of the various stakeholders in the property and real estate market and learn to develop and manage property. This qualification will also allow you to articulate into the Graduate Diploma of Property.","Entry requirements Entry information Minimum admission criteria: Bachelor degree in a different discipline* OR two years relevant work experience * Completion of a major sequence in property or real estate will classify a degree as the same discipline. Deakin University offers admission to postgraduate courses through a number of Admission categories. All applicants must meet the minimum English language requirements. Please note that meeting the minimum admission requirements does not guarantee selection, which is based on merit, likelihood of success and availability of places in the course. For more information on the Admission Criteria and Selection (Higher Education Courses) Policy visit the Deakin Policy Library"
Graduate Diploma of Finance,"Get a specialist qualification in finance with Deakin’s Graduate Diploma of Finance. You’ll graduate with a broad understanding of international finance and a versatile skill set that can take you around the world. The coursework and research components of this course have been designed to enhance professional practice in a range of financial domains, which may be of particular interest to you if you’re currently working as a finance professional. If you have a non-business undergraduate degree, or you’re keen to acquire a professional qualification in finance, this course will also be suitable for you. As a graduate, you may also choose to articulate into the Master of Finance.","Entry requirements Entry information Minimum admission criteria: Bachelor degree in any discipline OR Graduate Certificate in any discipline OR at least three years of relevant work experience in business or other related field Deakin University offers admission to postgraduate courses through a number of Admission categories. All applicants must meet the minimum English language requirements. Please note that meeting the minimum admission requirements does not guarantee selection, which is based on merit, likelihood of success and availability of places in the course. For more information on the Admission Criteria and Selection (Higher Education Courses) Policy visit the Deakin Policy Library"
Master of Advanced Clinical Nursing,"Take your nursing career to the next level by specialising in an area of advanced clinical nursing practice. Our Master of Advanced Clinical Nursing is a customisable specialist degree that will enhance your clinical decision-making skills to bolster health service delivery and improve patient outcomes.Ranked 20th in the world,* our School of Nursing and Midwifery is one of Australia’s largest and most established. You will learn from the best with the school’s cutting-edge research recognised as well above world standard.^ Are you looking for a flexible clinical nursing degree where you can choose your specialisation and take a step forward in your nursing career? You will enter this course with support from your health service to specialise in your chosen area of practice. This flexible degree enables you to pursue your chosen career pathway; whether you want to support patients through their surgical journey as a perioperative nurse or play a leading role advancing the care of the critically ill as an intensive care nurse. You can select from seven areas of advanced clinical nursing, which will be your focus for the first year of your course: cardiac (including interventional cardiology) critical care emergency intensive care intraoperative perianaesthesia perioperative. No matter your specialty area, you will further your essential skills in navigating patient care, communicating with patient’s families and working efficiently in a multidisciplinary care team. As an experienced registered nurse you will be challenged to advance your professional judgement, leadership and professionalism within modern healthcare practice. You will explore and analyse ethical, transcultural and psychosocial concepts in the context of complicated grief, critical incident stresses and brain death.Our course curriculum is shaped by industry insights and research from Deakin’s Centre for Quality and Patient Safety Research (QPS). QPS is a leader in clinical research, quality and risk management, and has researchers within six of Victoria’s major health services. This means the course material is evidence-based, patient-focused and informed by academics, researchers and clinical experts who are leaders in their fields. You will be in control of your learning, and have the opportunity to complement your specialty area with either a thesis stream or coursework stream.The coursework stream allows you to customise your degree to match your career aspirations. You can choose from a mix of course and postgraduate electives from across the university. The thesis stream sets you up to pursue a research pathway upon graduation, with four dedicated thesis units and two electives. Supported by a research supervision team and our expert staff you will create an individual research thesis in an area of specialty nursing practice. Want to further your career in a shorter time? We offer graduate diplomas and graduate certificates for all specialty areas. If you wish to pursue a shorter qualification please enrol in them directly. Alternatively, if you are seeking a non-specialised postgraduate nursing qualification to advance into a senior position, our Master of Advanced Nursing prepares you to step up into nursing leadership, management or education without the need to specialise in a clinical specialty area. It is also a highly customisable course with a range of electives and the option of a thesis or coursework stream. *2022 ShanghaiRankings Ranking of Academic Subjects.^Excellence in Research Australia (ERA) 2018.","Entry requirements Entry information Bachelor of Nursing or equivalent, and Registration as a registered nurse with the Nursing and Midwifery Board of Australia, with no conditions or restrictions and Applicants must have 24 months clinical experience in specialty practice in Australia and provide evidence of employment in a relevant specialty practice area or equivalent As the Specialisation pathways courses are offered collaboratively between the University and a range of partnership/ collaborating hospitals, student selection into the course is a joint process. Students must independently apply for and seek permanent employment within a collaborating hospital to support and provide a sound clinical learning environment for the clinical program requirements of the course. Deakin University offers admission to postgraduate courses through a number of Admission categories. All applicants must meet the minimum English language requirements. Please note: meeting minimum entry requirements does not guarantee an offer of a place. Entry into this program is based on competitive selection and there may be limited places available. For more information on the Admission Criteria and Selection (Higher Education Courses) Policy visit the Deakin Policy Library"
Bachelor of Exercise and Sport Science,"Join the #1 sport science school in the world* by studying Deakin's Bachelor of Exercise and Sport Science. The course provides an accredited pathway for you to be eligible to join Exercise and Sports Science Australia (ESSA) and practise as an Accredited Exercise Scientist. You'll learn how to apply knowledge and skills in exercise and sport science to improve the performance, health and participation of individuals, athletes and teams. Develop the skills to become a professional leader in exercise and sport science and allied fields, with a focus on the biological, sociological and behavioural bases of exercise and sport science. Learn in world-class facilities at our Elite Sports Precinct in Geelong and Specialised Indoor Exercise and Sport Science building in Burwood. The course includes 220 hours of practical experience – more than any comparable accredited program in Victoria – meaning you'll graduate job-ready with an advantage.Why not fulfil your potential in the world of exercise and sports science and graduate with a practical degree that lets you hit the ground running in the industry? Our world-class facilities allow you to learn in elite environments. The Geelong Waurn Ponds Campus’ Elite Sports Precinct supports the activities of a wide range of athletes, from the Geelong Cats AFL team, to the student-based Deakin Ducks Soccer Club. This opens the door to outstanding placement opportunities for students. Our new specialised indoor exercise and sport science building at the Melbourne Burwood Campus features four levels of state-of-the-art sport science learning facilities, providing you with a broad range of hands-on learning experiences. Deakin’s Bachelor of Exercise and Sports Science is the first and longest-standing undergraduate course in Victoria. Develop the expertise to become a professional leader in exercise and sport science, studying the biology, technology, behaviour and best practices that underpin exercise and sport science. Tailor the course to your interests and career goals, choosing from the following majors: applied sport science disability and inclusion exercise physiology family, society and health health promotion nutrition physical activity and health psychology sport coaching sports nutrition strength and conditioning. You will have the opportunity to participate in work experience placements in a variety of environments such as: AFL/VFL football clubs Football Federation Victoria Tennis Australia WNBL clubs Cricket Victoria private strength and conditioning and high-performance centres (including Institutes of Sport) recreational gyms rehabilitation clinics. All students participate in two industry-based practical experiences. In second year, students complete 80 hours of practical experience at a pre-approved host organisation through the Exercise Programming unit. The Exercise and Sports Science Practicum in final year provides a minimum 140 hours of practical experiences. These are a core feature of the course which, combined with career mentoring by staff in particular units, set you apart from other graduates. career mentoring by staff in particular units, set you apart from other graduates. *Shanghai Ranking's Global Ranking of Sport Science Schools and Departments 2021",Entry requirements
