course_name,o_summarized,overview
Bachelor of Medical Imaging,"The course ""Diagnostic Radiography"" is a highly specialized medical imaging program that focuses on the development of skills and knowledge necessary for becoming an X-ray technician or radiologic technologist through hands-on training in state-of-the art facilities. The curriculum covers topics such as basic radiation safety, equipment operation/maintenance, patient positioning techniques during exams, image acquisition methods (X-rays), imaging modalities used by professionals and the latest medical technologies available for clinical practice today. Students also gain practical experience through supervised placements in hospitals or private radioloy clinics across Australia to prepare them with skills that can easily transition into their future careers as radiologic technologists/technicians, X-ray technicians, radiology assistants, etc.,","Join one of the strongest growth areas within the health sector* with Deakin's Bachelor of Medical Imaging. Gain the latest knowledge in medical radiation science and develop your skills in techniques like general radiography, computed tomography (CT), digital vascular imaging and magnetic resonance imaging (MRI). You will learn in our world-class medical imaging labs, which have the capabilities of real medical imaging clinics.Throughout the course you will explore important professionalism, communication, ethical and legal aspects of healthcare. Clinical placements start in your first year and are based in metro, rural and regional settings. You will gain valuable clinical practice in clinical centres and hospitals, and in our medical imaging training unit, giving you diverse experience and skills that ensure you graduate career-ready and eligible for registration as a Medical Radiation Practitioner (diagnostic radiographer). Want to gain the knowledge and clinical expertise to launch your career as a registered diagnostic radiographer? Through this highly specialised course you will develop an understanding of medical radiation science that informs principles of medical images and biological sciences. Using the latest equipment, you will learn basic X-ray techniques before advancing to more complex medical imaging procedures such as: general radiography digital vascular imaging mammography computed tomography (CT) general ultrasound (U/S) magnetic resonance imaging (MRI). Take advantage of Deakin’s state-of-the-art facilities to practise your skills using the same equipment professionals use. Our medical imaging labs replicate real-world medical imaging clinics – two of the main X-ray examination rooms even include ceiling and floor-mounted imaging systems. The authentic facilities mean you will be preparing for your future career with practical knowledge and skills that can easily transition into the workplace. Develop your knowledge in clinical placements under the supervision of experienced practitioners in a range of settings, including hospitals and private radiology clinics throughout Australia. These workplace experiences provide you with the skills needed to enter the medical imaging sector with confidence. *2021 Employment Outlook - for the five years to November 2026, Australian Government National Skills Commission"
Graduate Diploma of Intraoperative Nursing,"The Graduate Diploma of Intradoctoral Nursing at Deakin University is a program designed for postgraduate nursing students who want to specialize and advance their skills within the field of intraoperative care. The course focuses on developing knowledge in areas such as surgical safety standards, infection prevention techniques, environmental planning, patient assessment methods, wound closure procedures, medico-legal requirements management, complex populations identification risks, evidence based practice implementation strategies for managing patients through surgery journey advancement and leadership development skills with a strong focus on collaboration within the multidisciplinary team. The program is designed to be an interactive learning experience that fosters critical thinking, problem solving abilities as well as teamwork skill sets in postgraduate nursing students aiming at career progression opportunities such as registered nurse roles or managerial positions related to intraoperative care management and leadership development skills for a successful future with enhanced patient outcomes through evidence-based practice.","Each year, 2.8 million hospitalisations in Australia result in surgical interventions.* With a skills shortage in the intraoperative specialty area, Deakin’s Graduate Diploma of Intraoperative Nursing will equip you with the knowledge and skills to join this growth area and help meet the growing demand for intraoperative nurses.Ranked 20th in the world,^ our School of Nursing and Midwifery is one of Australia’s largest and most established schools. You will be learning from the best with the School’s cutting-edge research recognised as well above world standard.#Do you want to join the multidisciplinary team supporting and caring for patients during surgery? If you want to take the next step in your nursing career, Deakin’s Graduate Diploma of Intraoperative Nursing develops specialty knowledge of the core principles and concepts of intraoperative nursing and collaborative management, with a specific focus on the global, national, and local quality and safety standards.You will feel empowered to step up as a leader in evidence-based intraoperative care, helping to drive change to improve the quality of nursing care and patient outcomes, playing a key role in advocating for your patients.Our strong industry connections mean you will be guided by experts in perioperative nursing as you explore the current and emerging trends, concepts, knowledge and evidence that provides the policy and practice framework in which the care of surgical patients takes place. Links to industry also ensures a high level of collaboration and support during your clinical practice. This means that while you study you can immerse yourself in your speciality practice area with one of our numerous metropolitan, rural and regional health partners across Australia.This course develops your skills in: how to critically analyse and apply evidence-based practice to implement risk management strategies in the intraoperative context the concepts and principles of intraoperative techniques in assessment and management of elective and emergency patients undergoing complex and specialty surgical procedures understanding the role specialist intraoperative nurses play in managing surgical and/or procedural patients across infection prevention, surgical safety and environmental planning and preparation; surgical wound closure and management; and medico-legal requirements managing complex and special populations to identify risks and inform decisions that deliver safe, high-quality nursing care to promote optimal patient outcomes how to apply the core principles of intraoperative practice across a range of surgical specialities what role you will play in comprehensively managing patients through their surgical journey advancing your professional judgement, leadership and professionalism through reflection on, experiential learning in, and knowledge acquisition of, the contemporary healthcare practice environment. Elective units available from your first year enable you to pursue specific areas of interest aligned to your career goals. You can choose from complementary areas of nursing practice to intraoperative nursing or undertake units that will further prepare you for roles in education, leadership or management. You will also have the opportunity to select a unit from anywhere across the University, further expanding your skill set.Our innovative online program delivers a rich, interactive and empowering learning experience that is designed for postgraduate nursing students. Live-streaming seminars and class discussions encourage critical thinking, problem-solving and teamwork skills. Australia’s top-rated tech support and access to our expert teaching staff means you can learn at your own pace, when and where it suits you, without compromising quality or support.With job growth of 13.9% projected for registered nurses and 23.1% for nurse managers by 2026~, there is an industry demand for nurses with sophisticated specialty skills. Intraoperative nurses are in strong demand as they are an integral part of the multidisciplinary teams that support patients through their surgical experience.*Australia’s hospitals at a glance 2022 - Australian Institute of Health and Welfare (AIHW) Australian Government (2022)^2022 ShanghaiRankings Ranking of Academic Subjects.#Excellence in Research Australia (ERA) 2018.~2021 Employment Outlook – for the five years to November 2026, Australian Government National Skills Commission."
Graduate Certificate of Perianaesthesia Nursing,"The Deakin University Graduate Certificate Program for PeriAnesthesia Nursing is a comprehensive program that focuses on the assessment and practical skills needed to become an expert perianesthetic nurse with advanced knowledge of pharmacological therapies including anaesthetics agents, adjunct therapy use, pain management techniques. The course also emphasizes patient care in complex populations such as neurological disorders or cardiovascular disease states while managing respiratory issues for patients undergoing surgery involving specialty procedures like orthopedic surgeries and neurosurgeries. Graduates will be equipped to handle the contemporary challenges perianesthesia nurses may face through roles including practice education leadership research, making a difference by contributing their skills towards improving patient outcomes in healthcare settings across Australia's hospitals at large with an emphasis on ShanghaiRanking of Academic Subjects#Excellence in Research (ERA) 2018 and Australian Government 2022.","Each year 2.8 million hospitalisations in Australia result in surgical interventions. Integral to these interventions are the perianaesthesia nurses providing care and support before, during and after the administration of anaesthesia. Deakin’s Graduate Certificate of Perianaesthesia Nursing will equip you with the assessment, practical and communication skills needed to be a high-performing member of a multidisciplinary perioperative team.Ranked 20th in the world^ our School of Nursing and Midwifery is one of Australia’s largest and most established schools. You’ll be learning from the best with the School’s cutting-edge research recognised as well above world standard#. Our strong industry connections mean you will be guided by experts in critical care and perioperative nursing as you explore the current and emerging trends, concepts, knowledge and evidence that provides the policy and practice framework in which perianaesthesia nursing takes place. Are you ready to take the next step in your career in the specialised field of perianaesthesia nursing? As a graduate of Deakin’s Graduate Certificate of Perianaesthesia Nursing you will demonstrate ethical, safe, high quality, expert clinical decision-making abilities within a multidisciplinary team. Your specialised theoretical knowledge, evidence-based practice and person-centred care will allow you to practise effectively at an advanced practice level, ensuring you are well placed to meet the industry demand for nurses with specialty skills. Elective units available from your first year enable you to pursue specific areas of interest and career goals. You can choose from complementary areas of practice to your specialisation, or undertake studies preparing you for roles in education, leadership or management. Deakin’s strong industry connections ensure a high level of collaboration and support during your clinical practice. This means that while you study you can immerse yourself in your specialty nursing practice area with one of our numerous metropolitan, rural and regional health partners across Australia. Our innovative online program delivers a rich, interactive and empowering learning experience designed for postgraduate nurses. Live-streaming seminars and class discussions will encourage critical thinking, problem solving and teamwork skills. Australia’s top-rated tech support and access to our expert teaching staff means you can learn at your own pace, when and where it suits you, without compromising quality or support. This course will enable you to: critically assess and apply the concepts and principles of anaesthetic management and postoperative care develop an advanced understanding of pharmacological therapies including anaesthetic agents, adjunct therapies and pain management therapies perform patient assessment and monitoring of neurological, cardiovascular, respiratory and haemodynamic states manage complex and special populations to identify risk and inform decisions that deliver safe, high quality nursing care to promote optimal patient outcomes assess and manage anaesthetic requirements for complex patients and emergency presentations demonstrate skills in advanced monitoring and postoperative anaesthesia care following complex and specialty surgery. Graduates are prepared to handle the contemporary challenges perianaesthesia nurses may face in a course that responds to industry trends and demands. You will learn how to make a difference through roles in areas such as practice, education, leadership and research. *Australia’s hospitals at a glance 2022 - Australian Institute of Health and Welfare (AIHW) Australian Government (2022)^2022 ShanghaiRankings Ranking of Academic Subjects#Excellence in Research Australia (ERA) 2018"
Bachelor of Health and Medical Science (Honours),"The Bachelor's degree program is designed to provide students with the necessary knowledge base for pursuing careers related to health or medical science through an additional year of study and independent research projects under supervision from experts across various disciplines such as biology, clinical medicine etc.. The aim is not only academic but also practical in nature.","Undertake an additional year of study across a wide range of health and medical science disciplines through the Bachelor of Health and Medical Science (Honours) degree. You will extend your knowledge and investigative skills in health and medicine and conduct an independent research project in your chosen area of interest. You can choose to go on to a career in research or take your practical expertise to the workplace.Do you want a competitive advantage in your career or to make a valuable impact in health or medical science research? This honours program involves an additional year of study across a wide range of health and medical science disciplines for students with an undergraduate background in the area. You will develop your knowledge and investigative skills in health and medicine, building on your previous learning and experience in your chosen area. Alongside engaging coursework and studies in research methodology, you will pursue an independent investigative research project, with supervision available from researchers who have expertise across health and medicine.You will become highly sought after in roles across academia, private and government industries in a variety of areas such as biological sciences and clinical research."
Graduate Diploma of Perioperative Nursing,The Graduate Diploma Program at Deakin University is a highly respected program that prepares students for advanced practice roles within the perioperative nursing field with strong industry connections and access to expert teaching staff who provide live-streaming seminars on critical thinking skills while providing job growth projections of 13.,"Every year, 2.8 million hospitalisations in Australia result in surgical interventions.* Integral to these interventions are the perioperative nurses providing care and support in pre-operative, intraoperative and post-operative environments. The advanced specialist skills required for this pivotal role in a multidisciplinary perioperative team are in high demand, in one of the strongest growth areas of the health sector.^ Deakin’s Graduate Diploma of Perioperative Nursing prepares you to meet that demand.Ranked 20th in the world,# our School of Nursing and Midwifery is one of Australia’s largest and most established. You will be learning from the best with the School’s cutting-edge research recognised as well above world standard#. Our strong industry connections mean you will be guided by experts in critical care and perioperative nursing as you explore the current and emerging trends, concepts, knowledge and evidence that provides the policy and practice framework in which perioperative nursing takes place. Are you ready to play a pivotal role in a multidisciplinary perioperative team? If you want to take the next step in your nursing career, our Graduate Diploma of Perioperative Nursing prepares you to practise effectively at an advanced practice level. As a graduate you will demonstrate ethical, safe, high-quality and expert clinical decision-making abilities within a multidisciplinary team, and psychomotor skills commensurate with specialised theoretical knowledge, evidence-based practice and person-centred care. Deakin’s strong industry connections ensure a high level of collaboration and support during your clinical practice. This means that while you study you can immerse yourself in your speciality nursing practice area with one of our numerous metropolitan, rural and regional health partners across Australia. This course enables you to: critically assess and manage elective and emergency patients undergoing complex and specialty surgical procedures, including anaesthetic management develop an advanced understanding of pharmacological therapies including anaesthetic agents, adjunct therapies and pain management therapies perform patient assessment and monitoring of neurological, cardiovascular, respiratory and haemodynamic states manage complex and special populations to identify risk and inform decisions that deliver safe, high-quality nursing care to promote optimal patient outcomes play a pivotal role in the multidisciplinary team management of surgical and/or procedural patients across: infection prevention, surgical safety and environmental planning and preparation; surgical wound closure and management; and medico-legal requirements demonstrate skills in advanced monitoring and postoperative anaesthesia care following complex and specialty surgery apply the core principles of perioperative practice across a range of surgical specialities develop greater decision-making autonomy, critical thinking and leadership skills, advanced clinical judgement, and professional behaviours required for safe patient care, effective teamwork, and career advancement. Second year elective units allow you to pursue specific areas of interest aligned to your career goals. You can choose from complementary areas of health practice, or undertake studies preparing you for roles in education, leadership or management. You will also have the opportunity to select a unit from anywhere across the university, further expanding your skill set. Our innovative online program delivers a rich, interactive and empowering learning experience that is designed for postgraduate nursing students. Live-streaming seminars and class discussions encourage critical thinking, problem-solving and teamwork skills. Australia’s top-rated tech support and access to our expert teaching staff means you can learn at your own pace, when and where it suits you, without compromising quality or support. With job growth of 13.9% projected for registered nurses and 23.1% for nurse managers by 2026,^ there is an industry demand for nurses with sophisticated specialty skills. Perioperative nurses are in strong demand as they are an integral part of the multidisciplinary teams that support patients through their surgical experience. *Australia’s hospitals at a glance 2022 – Australian Institute of Health and Welfare (AIHW) Australian Government (2022).^2021 Employment Outlook – for the five years to November 2026, Australian Government National Skills Commission.#2022 ShanghaiRankings Ranking of Academic Subjects.**Excellence in Research Australia (ERA) 2018."
Bachelor of Exercise and Sport Science (Honours),"The article provides an introduction to Deakin University's honour year program and highlights its focus on combining coursework with original research under the guidance of a supervisor for students who have strong undergraduate academic records but may not be able-bodied enough or financially stable to undertake full honours degrees. The programme aims at providing opportunities for graduate entry into masters by research programs, as well as gaining an understanding of project planning and implementation through experience in this field. Examples include the study on physical activity during childhood that improves adult heart health and firefighters' fatigue monitoring methods used in sports science studies such as AFL umpires decision making analysis based on game characteristics.","Advance your knowledge of exercise and sports science by undertaking an honours degree at Deakin. Designed for students with a strong undergraduate academic record, the honours year combines coursework and an original piece of research under the guidance of a supervisor. You will gain an understanding of research methods and design as well as experience in project planning and implementation. Graduates may apply to enter masters and PhD by research programs. Examples of previous honours research pieces include: How does physical activity in childhood improve the adult heart? Can we monitor firefighters fatigue on the job in the same way we monitor our athletes? Influence of game characteristics on decision making in AFL umpires"
Bachelor of Forensic Science (Honours),"The Honour's Bachelor of Forensic Science program at Deakin University is an optional year for students who wish to combine their undergraduate degree with specialized study within the field of forensic science research and development skills that enhance employment opportunities throughout ones career in a variety of fields. The programme offers access to experienced teachers/research staff, industry connections through partnerships such as government departments or private agencies linked internationally by broad experience; funding for international grants on their work conducted during this program may contribute significantly towards global importance research and the development skills needed for forensic science investigations with masters programs available in partnership institutions worldwide offering further study opportunities.","Study Deakin’s Bachelor of Forensic Science (Honours) to broaden your understanding of a chosen discipline within the field, while building key research and soft skills that enhance your employment options and prepare you for further study. Honours is an optional year of specialised study that allows you to combine the theory and practical skills gained throughout your undergraduate degree. It is an opportunity to develop your expertise in a field you are passionate about and to gain invaluable research and life skills that will stay with you throughout your career.You have worked hard for your undergraduate degree. Why not take the next step with an honours degree that launches your career forward You will be guided every step of the way by teachers and research staff who are experts in their respective fields, with international links and broad experience. You’ll be able to leverage Deakin’s industry connections to work alongside professional forensic scientists. Through research, coursework and formal training, you’ll develop the skills and techniques needed for modern forensic science, including the examination and presentation of scientific evidence to inform investigations. Deakin's research in forensic science is conducted in partnership with government departments, private agencies and leading international scientists, and is funded by national and international grants. This means that work you complete during your Honours program may contribute to producing research of global importance. You’ll have a distinct advantage when applying for roles in forensic research, research science and insurance investigations. You’ll also be well placed to pursue further study and research training, including masters and PhD programs."
Graduate Diploma of Intensive Care Nursing,The Graduate Diploma Program at Deakin University offers a comprehensive and rigorous program for registered nurses to advance their skillset through advanced practice roles such as critical care nursing management or education leadership positions within the healthcare industry while also maintaining an active clinical role in intensive care units.,"With job growth of 13.9% projected for registered nurses by 2026,* there is an industry demand for nurses with sophisticated specialty skills. As a registered nurse, Deakin’s Graduate Diploma of Intensive Care Nursing will equip you with the analytical, practical, communication and leadership skills needed to take the lead in the management of critically ill patients in intensive care and high dependency units at an advanced practice level.Study with one of Australia’s largest and most established nursing schools. Ranked 20th in the world,^ the School’s cutting-edge research is recognised as well above world standard.# Our strong industry connections mean you will be guided by experts in critical care nursing as you explore the current and emerging trends, concepts, knowledge and evidence that provides the policy and practice framework in which the care of critically ill patients takes place.Are you ready to become a change agent and play a leading role in advancing the care of critically ill patients? If you want to take the next step in your nursing career, our Graduate Diploma of Intensive Care Nursing will prepare you to become a leader and practise effectively at an advanced practice level in critical care settings. As a graduate you will demonstrate ethical, safe, high-quality, expert clinical decision-making abilities within an interdisciplinary team, and psychomotor skills commensurate with specialised theoretical knowledge, evidence-based practice and person or client-centred care. As a student of Deakin’s Graduate Diploma of Intensive Care Nursing you will be challenged to advance your professional judgement by exploring the current and emerging trends, concepts, knowledge and evidence that provides the policy and practice framework in which the care of critically ill patients takes places. Second year elective units allow you to pursue your specific areas of interest and career goals. You can choose from complementary areas of practice to your specialisation, or undertake studies preparing you for roles in education, leadership or management. You will also have the opportunity to select a unit from anywhere across the university, further expanding your skill set. Deakin’s strong industry connections ensure a high level of collaboration and support during your clinical practice. This means that while you study you can immerse yourself in your speciality practice area with one of our numerous metropolitan, rural and regional health partners across Australia. Our innovative online program delivers a rich, interactive and empowering learning experience designed for postgraduate nurses. Live-streaming seminars and class discussions will encourage critical thinking, problem solving and teamwork skills. Australia’s top-rated tech support and access to our expert teaching staff means you can learn at your own pace, when and where it suits you, without compromising quality or support. This course enables you to: evaluate and intervene in response to complex data from patient and technologically-derived sources develop an advanced understanding of normal physiology, and the pathophysiology of illness and injury of critically ill patients perform focused, systematic and methodical patient assessments demonstrate advanced clinical judgement leading to autonomous decision-making practise critical thinking and reflection regarding current health environment issues and specialty nursing practice explore and demonstrate an understanding of complex practice, transcultural, ethical and psychosocial concepts combine advanced communication skills with professional knowledge to promote safe, high-quality care of the critically ill. You will be challenged to become a leader in evidence-based practice, and a change agent to improve the quality of nursing care and patient outcomes in intensive care and high dependency units. Graduates are prepared to handle the contemporary challenges intensive care nurses may face with a course that responds to industry trends and demands. You will learn how to make a difference through senior roles in areas such as practice, education, leadership and research. *2021 Employment Outlook - for the five years to November 2026, Australian Government National Skills Commission.^2022 ShanghaiRankings Ranking of Academic Subjects.#Excellence in Research Australia (ERA) 2018."
Bachelor of Nutrition Science (Honours),"The Bachelor of Nutrition Science (Honours) program at Deakin University is designed to provide students with a strong foundation knowledge and practical skills necessary for success within the food industry or related fields such as nutrition sciences research projects that can change society's perception on eating habits. The coursework includes an original research project in conjunction with courses, hands-on experience through study facilities like sensory labs where they will gain relevant industrial knowledge to pursue a career path after graduation and provide evidence based advice regarding the impact of food consumption patterns within communities for better health outcomes.","Take the next step in your understanding of the effects of nutrition on our population with a Bachelor of Nutrition Science (Honours). You will complete coursework alongside an original research project, and develop a unique perspective of research occurring within Australia’s $20 billion dollar food industry.Are you ready to uncover research that could change society’s perception of food? Discover more about your area of interest within nutrition sciences by completing an honours year. You will not only build on your foundation knowledge of nutrition, but also enhance your skills to confidently conduct an original research project. Contribute to knowledge in your specialised area while gaining practical research experience among an ever-developing field. Paired with a supervisor who is an expert in their field, you will complete an original piece of research under their guidance. Along the way, you will gain an understanding of research methods and design, as well as experience in project planning and implementation. Examples of previous research projects include: The political construction of obesity: a framing analysis of Australian parliamentary debates about junk-food advertising to children. The role of visual cues on flavour perception and liking of rice. Factors predictive of postoperative clinical outcomes in gastrointestinal surgical patients: A prospective observational study. Some of the research being conducted within our research centres such as the Food and Mood Centre and Global Obesity Centre includes the impact of food on mental health issues, such as depression, and the cost effectiveness of obesity prevention policies in Australia. Deakin is home to leading Australian research centres CASS (Centre for Advanced Sensory Science) and IPAN (Institute for Physical Activity and Nutrition), whose studies are at the forefront of food and nutrition research. You will also have the opportunity to study in our state-of-the-art food and nutrition facilities – including industry-standard food sensory labs – that will provide you with hands-on experience to put your research to the test. By completing your honours degree with Deakin’s School of Exercise and Nutrition Sciences, you will graduate with the relevant industry knowledge to pursue a career or complete further research and study. With over 150 partnerships spanning government and organisations within the health field, your learning will be relevant to industry. Graduate with the knowledge and skills required to confidently provide evidence-based advice regarding food and its impact on our health within community settings."
Graduate Certificate of Intraoperative Nursing,The Graduate Diploma of Intraoperative Nursing at Deakin University is a program that equips postgraduate nurses with the skills and knowledge necessary to become an intraoperaive nurse specialist who can effectively manage patients undergoing complex surgical procedures in Australia's hospitals.,"Each year 2.8 million hospitalisations in Australia result in surgical interventions. With a skills shortage in the intraoperative specialty area, Deakin’s Graduate Diploma of Intraoperative Nursing will equip you to join this growth area and help meet the growing demand for intraoperative nurses.Ranked 20th in the world, our School of Nursing and Midwifery is one of Australia’s largest and most established schools. You’ll be learning from the best with the School’s cutting-edge research recognised as well above world standard#. Our strong industry connections mean you will be guided by experts in perioperative nursing as you explore the current and emerging trends, concepts, knowledge and evidence that provides the policy and practice framework in which the care of surgical patients takes place.Do you want to join the collaborative team supporting and caring for patients during surgery? Deakin’s Graduate Diploma of Intraoperative Nursing will enable you to take the next step in your nursing career. You will develop specialty knowledge of the core principles and concepts of intraoperative nursing and collaborative management with a specific focus on the global, national, and local quality and safety standards. You will feel empowered to step up as a leader in evidence-based intraoperative care, helping to drive change to improve the quality of nursing care and patient outcomes. This course will improve your skills in: how to critically analyse and apply evidence-based practice to implement risk management strategies in the intraoperative context the concepts and principles of intraoperative techniques in assessment and management of elective and emergency patients undergoing complex and specialty surgical procedures understanding the role specialist intraoperative nurses play in managing surgical and/or procedural patients across; infection prevention, surgical safety and environmental planning and preparation; surgical wound closure and management; and medico-legal requirements managing complex and special populations to identify risk and inform decisions that deliver safe, high quality nursing care to promote optimal patient outcomes how to apply the core principles of intraoperative practice across a range of surgical specialities what role you will play in comprehensively managing patients through their surgical journey advancing your professional judgement, leadership and professionalism through reflection on, experiential learning in, and knowledge acquisition of, the contemporary healthcare practice environment. Elective units available from your first year enable you to pursue specific areas of interest aligned to your career goals. You can choose from complementary areas of nursing practice to intraoperative nursing or undertake units that will further prepare you for roles in education, leadership or management. You will also have the opportunity to select a unit from anywhere across the university, further expanding your skill set. Our innovative online program delivers a rich, interactive and empowering learning experience designed for postgraduate nurses. Live-streaming seminars and class discussions will encourage critical thinking, problem solving and teamwork skills. Australia’s top-rated tech support and access to our expert teaching staff means you can learn at your own pace, when and where it suits you, without compromising quality or support. With job growth of 13.9% projected for registered nurses and 23.1% for nurse managers by 2026~, there is an industry demand for nurses with sophisticated specialty skills. Intraoperative nurses are in strong demand as they are an integral part of the multidisciplinary teams that support patients through their surgical experience. Deakin’s strong industry connections ensure a high level of collaboration and support during your clinical practice. This means that while you study you can immerse yourself in your speciality practice area with one of our numerous metropolitan, rural and regional health partners across Australia. *Australia’s hospitals at a glance 2022 - Australian Institute of Health and Welfare (AIHW) Australian Government (2022)^2022 ShanghaiRankings Ranking of Academic Subjects. #Excellence in Research Australia (ERA) 2018. ~2021 Employment Outlook – for the five years to November 2026, Australian Government National Skills Commission."
Bachelor of Public Health and Health Promotion (Honours),"The Bachelor of Public Health (Honours) is an opportunity for students who are passionate about public health and want to gain practical experience through internships or work placements within the field. The program combines theoretical knowledge with hands-on skills in areas such as research methods, data analysis, communication, policy planning, community engagement, and advocacy. Graduates will be equipped with a competitive edge for careers that require strong analytical abilities combined with an understanding of public health principles.","Boost your understanding of health through a specialised year of study to bring together the theory and practical skills gained in your undergraduate studies. The Bachelor of Public Health and Health Promotion honours year will see you work within a specific area of expertise, sharpen your research skills and graduate with a competitive edge in the fast-growing global health job market.Want to conduct in-depth research and further your career in the global health industry? Expand on your general understanding of health, and the factors that contribute to community and population health by delving deeper into a research area of your choice. Undertaking this honours year offers you a specialised year of study, combining the theory and practical skills from your undergraduate degree or previous work experience to conduct in-depth research into a topic of your choice. Alongside engaging coursework, you will hone your passion in the field of health, working closely with a supervisor to delve deep into an original research project to sharpen your expertise. You will gain a deep understanding of the philosophies, ethics and principles of research and explore a range of research approaches and how they can best contribute to positively influencing public health. As well as this, you will have the chance to equip yourself with extra skills to ensure you graduate career ready, such as communication, data management and the planning, implementing and reporting of research studies.With a variety of public health issues affecting healthcare systems globally, job growth in the sector is increasing. There are career opportunities in government and private sector roles across Australia and internationally. You will be qualified for work in areas such as health promotion and education, policy and planning and research. The research experience and knowledge that you will gain in this honours year also acts as a pathway to undertaking a masters or doctoral research program."
Bachelor of Health Sciences (Honours),"The article provides an introduction about Deakin's School of Health & Social Development where students can pursue their passion for health and social development by studying a Bachelor of Health Sciences (Honours). The school offers various research groups that focus on public health, healthy living promotion, environmental determinants of health, diversity in the community. Students will gain knowledge from world-class researchers who are experts within these areas while developing skills to conduct independent original studies and contribute their findings for a better society's wellbeing through social development interventions at different levels such as schools or communities","Build on your knowledge of health care, policy and systems with a Bachelor of Health Sciences (Honours). Through a combination of coursework and original research, you’ll learn the analytical skills and research techniques that will take you into further study, or employment in the booming health sector.Do you have questions about the health of our population you want answered? Why not follow your passions and discover the answers with your own research? Contribute to existing studies in the contemporary health sector by completing an honours degree. You will have the opportunity to work with a world-class supervisor who will guide you through all the stages of research from data collection to implementation and execution, helping you produce a piece of independent, original research. Focus on an area within the health sciences that you are passionate about. Research themes can include: community health gambling gender, family, reproductive and sexual health health, diversity and social inclusion health economics nature and health obesity prevention, healthy food environments and food policy physical activity, motor skill competence and self-perception refugee health sustainability violence and abuse, prevention and intervention. You will learn more than just your topic of research. You will develop the necessary skills to successfully conduct research, with units designed to build your knowledge of the process. You can be confident that your research is guided by the most recent and ground-breaking findings within the health sector. Deakin’s School of Health and Social Development is home to a large range of multidisciplinary research groups, encompassing public health, health promotion, and social, commercial, behavioural, and environmental determinants of health. The school addresses the complex connections between determinants of health in their broadest sense, and social development in a variety of settings, and at a range of intervention levels. This means you will be immersed in the work of some of the world’s best researchers. Follow your passion to improve the health and wellbeing of society by studying a Bachelor of Health Sciences (Honours)."
Master of Dietetics,The Master of Dietetics is a program designed for individuals who are passionate about improving the health outcomes through diet-related treatments and want to become accredited practising dietitians (DPs).,"The Master of Dietetics prepares you to solve widespread health issues through science-based, diet-related treatments. Take a big step towards becoming an Accredited Practising Dietitian, and build advanced skills that allow you to improve the health and wellbeing of the individuals and communities you work with. If your goal is to become an accredited practising dietitian, why not join a program that has over 45 years of experience developing industry-ready dietitians? Deakin’s Master of Dietetics explores the important relationship between diet and disease. Accredited by Dietitians Australia (DA) and shaped by decades of industry input, this course trains you to prescribe science-based treatments for a wide range of health issues, from obesity and diabetes, to allergies and malnutrition. If you’re passionate about improving the wellbeing of the people around you through diet, the Master of Dietetics allows you to cut through misinformation to unlock solutions that are shaped by evidence and tested with scientific rigour. Combine studies in medical nutrition therapy, public health nutrition and food service management to graduate with a well-rounded set of skills that prepare you for a variety of roles. Your problem-solving abilities, communication skills and dietetic knowledge will allow you to thrive in community and public health settings. Prefer to work one-on-one with clients? You will feel just as comfortable using your interpersonal skills to develop tailored treatments in a clinical setting that deliver life-changing results. Importantly, this course has full accreditation from the Dietitians Australia. That makes it a recognised pathway towards becoming an Accredited Practising Dietitian. Better still, this is one of the few dietetics masters courses in Australia that takes just 18 months (full-time study) to complete. This means you can move into your dream role faster and start helping people sooner. Practical learning forms a significant part of the course and you will have many opportunities to apply the knowledge you learn in the classroom in labs, workplaces and industry settings. 21 weeks of professional practice placement gives you industry experience in multiple settings and prepares you for your career as a dietitian. This is where all your training comes to the fore, as you work alongside established dietitians. Students can enrich their university experience by leveraging the considerable industry connections formed by Deakin’s long-standing School of Exercise and Nutrition Sciences. Just a few of our associations include: Nutrition Australia Sports Dietitians Australia Austin Health Barwon Health Northern Health Peter MacCallum Cancer Centre Western Health. These relationships open the door to professional development opportunities, give you direct access to ground-breaking research and allow you to build networks that take your career forward."
